Date,Platform,Cumulative,Users
2022-06-20,Telegram,531,29
2022-06-27,Telegram,551,20
2022-07-04,Telegram,572,21
2022-07-11,Telegram,594,22
2022-07-18,Telegram,612,18
2022-07-25,Telegram,625,13
2022-08-01,Telegram,641,16
2022-08-08,Telegram,663,22
2022-08-15,Telegram,685,22
2022-08-22,Telegram,703,18
2022-08-29,Telegram,722,19
2022-09-05,Telegram,736,14
2022-09-12,Telegram,759,23
2022-09-19,Telegram,780,21
2022-09-26,Telegram,806,26
2022-10-03,Telegram,825,19
2022-10-10,Telegram,841,16
2022-10-17,Telegram,858,17
2022-10-24,Telegram,876,18
2022-10-31,Telegram,895,19
2022-11-07,Telegram,912,17
2022-11-14,Telegram,925,13
2022-11-21,Telegram,949,24
2022-11-28,Telegram,971,22
2022-12-05,Telegram,996,25
2022-12-12,Telegram,1028,32
2022-12-19,Telegram,1050,22
2022-12-26,Telegram,1067,17
2023-01-02,Telegram,1109,42
2023-01-09,Telegram,1183,74
2022-01-10,Bot_API,0,0
2022-01-17,Bot_API,0,0
2022-01-24,Bot_API,0,0
2022-01-31,Bot_API,0,0
2022-02-07,Bot_API,0,0
2022-02-14,Bot_API,0,0
2022-02-21,Bot_API,0,0
2022-02-28,Bot_API,0,0
2022-03-07,Bot_API,0,0
2022-03-14,Bot_API,0,0
2022-03-21,Bot_API,0,0
2022-03-28,Bot_API,0,0
2022-04-04,Bot_API,0,0
2022-04-11,Bot_API,0,0
2022-04-18,Bot_API,0,0
2022-04-25,Bot_API,0,0
2022-05-02,Bot_API,0,0
2022-05-09,Bot_API,0,0
2022-05-16,Bot_API,0,0
2022-05-23,Bot_API,0,0
2022-05-30,Bot_API,0,0
2022-06-06,Bot_API,0,0
2022-06-13,Bot_API,0,0
2022-06-20,Bot_API,0,0
2022-06-27,Bot_API,0,0
2022-07-04,Bot_API,0,0
2022-07-11,Bot_API,0,0
2022-07-18,Bot_API,0,0
2022-07-25,Bot_API,0,0
2022-08-01,Bot_API,0,0
2022-08-08,Bot_API,0,0
2022-08-15,Bot_API,0,0
2022-08-22,Bot_API,0,0
2022-08-29,Bot_API,0,0
2022-09-05,Bot_API,0,0
2022-09-12,Bot_API,0,0
2022-09-19,Bot_API,125,125
2022-09-26,Bot_API,229,104
2022-10-03,Bot_API,338,109
2022-10-10,Bot_API,425,87
2022-10-17,Bot_API,583,158
2022-10-24,Bot_API,758,175
2022-10-31,Bot_API,828,70
2022-11-07,Bot_API,870,42
2022-11-14,Bot_API,911,41
2022-11-21,Bot_API,952,41
2022-11-28,Bot_API,976,24
2022-12-05,Bot_API,1008,32
2022-12-12,Bot_API,1026,18
2022-12-19,Bot_API,1048,22
2022-12-26,Bot_API,1075,27
2023-01-02,Bot_API,1114,39
2023-01-09,Bot_API,1138,24
2022-01-10,Kik,0,0
2022-01-17,Kik,4,4
2022-01-24,Kik,9,5
2022-01-31,Kik,14,5
2022-02-07,Kik,18,4
2022-02-14,Kik,24,6
2022-02-21,Kik,33,9
2022-02-28,Kik,37,4
2022-03-07,Kik,39,2
2022-03-14,Kik,43,4
2022-03-21,Kik,45,2
2022-03-28,Kik,45,0
2022-04-04,Kik,45,0
2022-04-11,Kik,45,0
2022-04-18,Kik,45,0
2022-04-25,Kik,45,0
2022-05-02,Kik,45,0
2022-05-09,Kik,45,0
2022-05-16,Kik,45,0
2022-05-23,Kik,45,0
2022-05-30,Kik,45,0
2022-06-06,Kik,45,0
2022-06-13,Kik,45,0
2022-06-20,Kik,45,0
2022-06-27,Kik,45,0
2022-07-04,Kik,45,0
2022-07-11,Kik,45,0
2022-07-18,Kik,45,0
2022-07-25,Kik,45,0
2022-08-01,Kik,45,0
2022-08-08,Kik,45,0
2022-08-15,Kik,45,0
2022-08-22,Kik,45,0
2022-08-29,Kik,45,0
2022-09-05,Kik,45,0
2022-09-12,Kik,45,0
2022-09-19,Kik,45,0
2022-09-26,Kik,45,0
2022-10-03,Kik,45,0
2022-10-10,Kik,45,0
2022-10-17,Kik,45,0
2022-10-24,Kik,45,0
2022-10-31,Kik,45,0
2022-11-07,Kik,45,0
2022-11-14,Kik,45,0
2022-11-21,Kik,45,0
2022-11-28,Kik,45,0
2022-12-05,Kik,45,0
2022-12-12,Kik,45,0
2022-12-19,Kik,45,0
2022-12-26,Kik,45,0
2023-01-02,Kik,45,0
2023-01-09,Kik,45,0
2022-01-10,SMS,0,0
2022-01-17,SMS,0,0
2022-01-24,SMS,0,0
2022-01-31,SMS,0,0
2022-02-07,SMS,0,0
2022-02-14,SMS,0,0
2022-02-21,SMS,0,0
2022-02-28,SMS,0,0
2022-03-07,SMS,1,1
2022-03-14,SMS,2,1
2022-03-21,SMS,2,0
2022-03-28,SMS,2,0
2022-04-04,SMS,2,0
2022-04-11,SMS,2,0
2022-04-18,SMS,2,0
2022-04-25,SMS,2,0
2022-05-02,SMS,2,0
2022-05-09,SMS,2,0
2022-05-16,SMS,3,1
2022-05-23,SMS,4,1
2022-05-30,SMS,4,0
2022-06-06,SMS,4,0
2022-06-13,SMS,4,0
2022-06-20,SMS,4,0
2022-06-27,SMS,4,0
2022-07-04,SMS,4,0
2022-07-11,SMS,4,0
2022-07-18,SMS,4,0
2022-07-25,SMS,4,0
2022-08-01,SMS,4,0
2022-08-08,SMS,4,0
2022-08-15,SMS,4,0
2022-08-22,SMS,5,1
2022-08-29,SMS,5,0
2022-09-05,SMS,5,0
2022-09-12,SMS,5,0
2022-09-19,SMS,5,0
2022-09-26,SMS,5,0
2022-10-03,SMS,5,0
2022-10-10,SMS,5,0
2022-10-17,SMS,5,0
2022-10-24,SMS,5,0
2022-10-31,SMS,5,0
2022-11-07,SMS,5,0
2022-11-14,SMS,5,0
2022-11-21,SMS,5,0
2022-11-28,SMS,5,0
2022-12-05,SMS,5,0
2022-12-12,SMS,6,1
2022-12-19,SMS,7,1
2022-12-26,SMS,7,0
2023-01-02,SMS,7,0
2023-01-09,SMS,7,0
